Ticker,Name,Business,Market,IPO,MarketCap,Sector
COUP,Coupa Software,ソフトウェア会社。,NASDAQ,2016,16899.09,Technology
CP,Canadian Pacific Railway,カナダの鉄道会社,NYSE,1983,54310.38,Industrials
CPA,Copa Holdings A,中南米を中心とするパナマの航空会社,NYSE,2005,3227.3,Industrials
CPB,Campbell Soup,食品会社,NYSE,1973,15053.49,Consumer Defensive
CPE,Callon Petroleum,石油 ・ガス資産の買収、開発、探鉱、運営に注力する独立系エネルギー会社。,NASDAQ,1990,2209.61,Energy
CPF,Central Pacific Financial Co,銀行持株会社,NYSE,1987,801.81,Financial Services
CPG,Crescent Point Energy Corp,石油・天然ガスの資産権や財産権関連の取得・保有をしている会社,NYSE,2003,2785.94,Energy
CPHC,Canterbury Park Holding Corporation,米国の競馬場運営会社,NASDAQ,2008,67.42,Consumer Cyclical
CPIX,Cumberland Pharmaceuticals Inc,処方箋薬の買収、開発、商業化を行う会社,NASDAQ,2009,44.17,Healthcare
CPK,Chesapeake Utilities Corp,エネルギーなど従事する公益事業会社,NYSE,1980,2040.2,Utilities
CPNG,Coupang Inc A,韓国のネット通販会社,NYSE,2021,67379.26,Consumer Cyclical
CPRI,Capri Holdings,英領バージン諸島籍の香港に本社を置く高級アパレルメーカー等の持株会社,NYSE,2011,8148.96,Consumer Cyclical
CPRT,Copart,自動車の廃車処理・販売サービスを提供,NASDAQ,1994,29579.35,Industrials
CPRX,Catalyst Pharmaceutical Inc,米国の医薬品メーカー,NASDAQ,2006,566.43,Healthcare
CPS,Cooper Standard Holdings Inc,流体処理等の製造メーカー,NYSE,2010,524.04,Consumer Cyclical
CPSI,Computer Programs & Systems Inc,ヘルスケア情報テクノロジー企業,NASDAQ,2002,488.11,Healthcare
CPSS,Consumer Portfolio Services Inc,米国の専門金融会社,NASDAQ,1992,111.98,Financial Services
CR,Crane Company,産業用機器メーカー。,NYSE,1980,5496.82,Industrials
CRAI,CRA International Inc,米国のコンサル ティング会社,NASDAQ,1998,617.67,Industrials
CRBP,Corbus Pharmaceuticals Holdings Inc,臨床段階の医薬品メーカー。炎症性線維性疾患の新しい治療用候補薬およびlenabasumの開発・商品化に注力。,NASDAQ,2014,247.57,Healthcare
CREE,Cree,電子部品メーカー,NASDAQ,1993,11395.83,Technology
CRI,Carter’s Inc,米国でベビー服と子供服を販売している衣料品販売会社。,NYSE,2003,4560.53,Consumer Cyclical
CRIS,Curis Inc,バイオテクノロジー会社。ヒトの組織片および器官の再生と復元を目的とした治療法を開発。,NASDAQ,2000,1315.36,Healthcare
CRK,Comstock Resources Inc,米国の石油・天然ガス会社,NYSE,1987,1382.84,Energy
CRL,Charles River Laboratories International Inc,世界の製薬会社、バイオテクノロジー会社、病院、学術機関などを対象に事業を展開している医療関連会社。,NYSE,2000,16927.15,Healthcare
CRM,Salesforce.com,オンデマンドの顧客管理（CRM)ソフト提供会社,NYSE,2004,219906.47,Technology
CRMD,CorMedix Inc,開発段階の医薬品・医療機器会社,NASDAQ,2010,283.5,Healthcare
CRMT,America's Car Mart Inc,米国の自動車小売業者,NASDAQ,1987,1044.5,Consumer Cyclical
CRNC,Cerence Inc.,自動車向けソフトウェアベンダ,NASDAQ,2019,4098.27,Technology
CRNT,Ceragon Networks Ltd,携帯電話のオペレーターやワイヤレス・サービス・プロバイダーによる音声、データ通信のために、ワイヤレス・ハウリング・ソリューションを提供,NASDAQ,2000,303.12,Technology
CRNX,Crinetics Pharmaceuticals,米国の医薬品企業。臨床段階で、内分泌疾患や内分泌系腫瘍の治療薬の開発・商業化に従事する。,NASDAQ,2018,636.83,Healthcare
CRON,Cronos Inc,カナダの医療用大麻事業会社。医療目的大麻規制に基づき、カナダ保健省が発行した医療用大麻生産ライセンスを所有または申請する企業への投資を中心に事業を行う。,NASDAQ,2018,3216.2,Healthcare
CROX,Crocs,紳士、婦人、子供用の靴を製造し、小売店チェーンを通じて販売している会社,NASDAQ,2006,6720.04,Consumer Cyclical
CRS,Carpenter Technology Corporation,ステンレス鋼、チタン鋼、特殊金属合金の製造、加工、販売に従事している特殊金属メーカー。,NYSE,1973,2106.7,Industrials
CRSP,CRISPR Therapeutics AG,スイスのバイオ医薬品企業,NASDAQ,2016,8583.86,Healthcare
CRSR,Corsair Gaming Inc,ゲーム関連製品メーカー,NASDAQ,2020,2932.83,Technology
CRTX,Cortexyme Inc,米国の主に疾患修飾治療研究をしているバイオ医薬品会社,NASDAQ,2019,1327.04,Healthcare
CRUS,Cirrus Logic,混合信号集積回路(IC)を開発する企業,NASDAQ,1989,4506.61,Technology
CRVL,CorVel Corp,ヘルスケアマネージメントサービスのプロバイダ,NASDAQ,1991,2128.45,Financial Services
CRVS,Corvus Pharmaceuticals Inc,癌の治療薬などの開発に従事するバイオ医薬品企業,NASDAQ,2016,103.05,Healthcare
CRWD,Crowdstrike Holdings Inc A,ソフトウェア会社。,NASDAQ,2019,46328.9,Technology
CRWS,Crown Crafts,寝室用品などの家庭用織物製品や装飾品を製造している企業,NASDAQ,2003,79.65,Consumer Cyclical
CRY,Cryolife Inc,生育可能なヒト組織を心臓血管、血管、整形外科的移植などへの適用を目的に冷凍保存しているヒト組織バンク。,NYSE,1993,1129.54,Healthcare
CSBR,Champions Oncology Inc,個別の腫瘍患者に見合った薬の開発および製品の開発、提供をしている米国のバイオ医薬品・サービス企業,NASDAQ,2007,129.22,Healthcare
CSCO,Cisco Systems,ネットワーク機器最大手,NASDAQ,1990,228272.18,Technology
CSGP,CoStar Group,情報提供会社。米国の商業不動産業界と関連業界に建物専門情報を提供する。,NASDAQ,1998,33214.03,Real Estate
